id,category_id,name,price,unit
84,2,Техноплекс 1180*580*40мм(0.68 кв.м) 1/10плит,231.0,шт
85,2,Техноплекс 1180*580*50мм(0.68 кв.м) 1/8плит,282.0,шт
86,2,"Техноплекс 2380*580*30мм(1,38кв.м) 1/13плит",357.0,шт
87,2,"Техноплекс 2380*580*50мм(1,38кв.м) 1/8плит",563.0,шт
88,2,Утеплитель AкустиKNAUF AS 037 1230*610*50мм (плита ),3368.0,шт
89,2,"Утеплитель ECOROLL 1000*610*50мм (плита1/10шт 6,1кв.м)",982.0,шт
90,2,Утеплитель ECOROLL 1230*610*50мм (плита 1/16шт.12кв.м.),1827.0,шт
91,2,"Утеплитель ECOROLL 6970*1220*50мм,(рул..32кв.м.)",2458.0,уп
92,2,"Утеплитель ""Isover"" 100*1220*7000мм рулон 8,54м2",2338.0,шт
93,2,Утеплитель KNAUF PROF 100мм (рулон)(12кв.м.),3086.0,шт
94,2,"Утеплитель KNAUF PROF 150мм (рулон) (6,6м2)",5445.0,шт
95,2,Утеплитель KNAUF для кровли TR 037 50*1220*6148мм (рулон,2468.0,шт
96,2,Утеплитель Базалит Мастерплит 1200*600*50мм 1/8шт,920.0,шт
97,2,Утеплитель Базалитплита Л-50 1000*500*50мм 1/9,1121.0,уп
98,2,Утеплитель Базалитплита Л-50 1200*600*50мм 1/8,1201.0,уп
99,2,Утеплитель Базалитплита Л-75 1000*500*50мм 1/9,1480.0,уп
100,2,Утеплитель Базалитплита Л-75 1200*600*50мм 1/9,1827.0,уп
101,2,Утеплитель РОКЛАЙТ 1200*600*50мм 1/8,936.0,рул.
102,2,"Утеплитель ТеплоKNAUF для стен и кровли""NORD"" 1230*610*5",2118.0,шт
103,2,"Утеплитель ТеплоKNAUF для стен и кровли""Коттедж"" 1230*610",2396.0,шт
104,2,Утеплитель ТеплоKNAUF для стен и потолков 1230*610*100мм,2347.0,шт
105,2,Утеплитель ТехноАкустик 1200*600*50мм (1/6),1124.0,шт
106,2,Утеплитель ТехноБлок Стандарт1200*600*50мм (1/6),1344.0,шт
107,2,Утеплитель ТИСМА TR 044 AguastatiK 50*1200*8300мм,4429.0,шт
108,3,"Зактирка для швов ""Ceresit CE 33"" 2кг, белая",332.0,шт
109,3,"Зактирка для швов ""Ceresit CE 33"" 2кг, серая",332.0,шт
110,3,"Зактирка для швов ""Ceresit CE 33"" 5кг, белая",764.0,шт
111,3,"Затирка для швов ""Ceresit"" CE 33 2кг, Натура ( шов 2-5мм)",315.0,шт
112,3,"Затирка для швов""Ceresit"" CE 33 2кг, Светло-коричневый ( шов",384.0,шт
113,3,"Затирка для швов""Ceresit"" CE 33 2кг. Багама ( шов 2-5мм)",315.0,шт
114,3,"Затирка для швов""Ceresit"" CE 33 2кг. Какао ( шов 2-5мм)",388.0,шт
115,3,"Затирка для швов""Ceresit"" CE 33 2кг.Темно-коричневый ( шов 2",315.0,шт
116,3,Известь комовая 4кг,264.0,шт
117,3,"Клей для плитки ""Ceresit""СМ 11 plus (морозостойкий) 25кг.",588.0,шт
118,3,"Клей для плитки ""Ceresit""СМ 14 plus (морозостойкий) 25кг.",892.0,шт
119,3,"Клей для плитки ""Ceresit""СМ9 25кг.",542.0,шт
120,3,Клей ПАВЕРМЕНТ (белый 25кг.),577.0,шт
121,3,"Клей плиточный ""Бергауф"" усиленный для плитки и керамогра",375.0,шт
122,3,"Клей плиточный ""Стромикс"" для наружных и внутрених работ",250.0,шт
123,3,"Клей плиточный КЕРАМИК универсальный 25кг."" АДМИРАЛ""",547.0,шт
124,3,"Клей плиточный КЕРАМИК универсальный 5кг. ""АДМИРАЛ""",165.0,шт
125,3,Клей плиточный СМАРТФИКС для внутренних работ 25кг АДМИ,422.0,шт
126,3,Клей плиточный СУПЕРФИКС усиленный для керамогранита 25,732.0,шт
127,3,"Клей Стайротбонд, для утеплителя модифицированный 25кг",833.0,шт
128,3,Клей Терракот усиленный жаростойкий 25кг,888.0,шт
129,3,Клей Терракот усиленный жаростойкий 5кг,268.0,шт
130,3,"Наливной пол "" Волма-Нивелир Экспресс"" 20 кг самовыпавнив",584.0,шт
131,3,Наливной пол FinishFloor 25 кг Тонкий слой 1/48шт,624.0,шт
132,3,"Наливной пол АДМИРАЛ ""Суперфлор"" (18кг)быстротвердеющи",634.0,шт
133,3,Наливной пол СТАРАТЕЛИ Тонкий (1-30мм) 25кг,758.0,шт
134,3,Наливной пол СТРОМИКС универсальный (5-80мм) 25кг,469.0,шт
135,3,Наливной пол Церезит CN173 быстротвердеющий 20кг.,560.0,шт
136,3,Наливной пол Церезит CN175 универсальный 25кг.,744.0,шт
137,3,Отсев,1600.0,куб
138,3,Отсев (мешок),55.0,шт
139,3,Пескогравий(1 куб),1000.0,шт
140,3,Пескогравий(мешок),50.0,шт
141,3,Песок ( 1 куб ),2250.0,куб
142,3,Песок строительный (40 кг. мешок),100.0,шт
143,3,Смесь ТЕРМОСТОЙКАЯ СТРОМИКС СТАРАТЕЛИ) 25кг.,678.0,шт
144,3,Смесь кладочная Терракот глино-шамотная жаростойкая 5кг,238.0,шт
145,3,Смесь штукатурная Терракот глино-шамотная жаростойкая 25г,1031.0,шт
146,3,"Смесь штукатурно-клеевая ""Стромикс"" Теплофасад 25кг.",698.0,шт
147,3,Стяжка д/пола АДМИРАЛ FIBRO цементная с фиброволокнами,477.0,шт
148,3,"Стяжка для пола Ремонтная ""RB"" 25кг.1/48",364.0,шт
149,3,"Стяжка ЦПС ""TigerMix"" М150 25кг",274.0,шт
150,3,"Стяжка ЦПС ""TigerMix"" М200 25кг",278.0,шт
151,3,"Стяжка ЦПС ""TigerMix"" М300 25кг",343.0,шт
152,3,Стяжка ЦПС (Универсальная) 25кг,324.0,шт
153,3,Цемент-400(50 кг),515.0,шт
