id,name
1,Фасадные работы
2,Кровельные работы
3,Стяжка пола
4,Напольные покрытия
5,Штукатурные работы
6,Гипсовые работы
7,Облицовачные работы
8,Малярные работы
9,Поклейка обоев
10,Декоративная отделка
11,Потолки
12,Натяжные потолки
13,Электромонтажные работы
